,0
4ec3c3cb14d5dda8a213f43eebf74536,38816.0
cd1f7688baee05b9c748ba2fb0288945,9009.0
5689d6d7afe84b299e55b1755883cfa1,5034.0
84821323881a6e0fbc72f301466ed60f,4700.0
ebaa63299c9b96970c8c8d0c64b72bac,3868.0
f5285c59f5ecaa61609f24f6964e63f3,3011.0
13491cc526fa79d5f9c7f4247a3bb306,2462.0
bb21d2164f8cc9b9e8adde040c8af817,2237.0
a04be2bbca47c5e9aa987f70709fab09,1964.0
8620e7c7cac15ffadc7146276c3e2940,1756.0
97b19d2fe2ac1c8a2ac62121c6a395a4,1605.0
1d2fad0f34de5066df2632f7892c05a6,1512.0
21b75e3648dd71c2c91c74413b49e865,981.0
eba10bbd968846e1fd27abff00ffb078,931.0
2239a9d28c02dfb747b8f8a21f83f8d6,914.0
8e105359efd8724fed46418111fb0d6c,885.0
b214de2b237e097eb592554fcc981ecb,812.0
535524e85dda8d37656c8f8f7dc15b92,804.0
3ca55ba2606c59d679cbf8244bd542f9,800.0
4750fc25dd66800b335f046a6eafa7af,797.0
91f54cc760b594efc3097c9e4577adba,769.0
e47a779a320baa0053eb1890fd8add54,751.0
4b9c253c43d1b073647a735498b4e428,631.0
b59fd35491ca3161bbcc76a11657b672,628.0
7f2d6dde9b258e9e280c70009a331440,598.0
d57d9053e1f326b87101d688029b9ec7,550.0
7714c78b324d5a26ecf6f014bc21570c,536.0
9fa4cb07af312e488503efd6b74205ba,526.0
d93c8e2a0ce4c6aaa35d31273383a7d5,484.0
2d9db024771376fb424686b1e3936560,467.0
0083c4e3cd61278988bd9952d8c0587a,444.0
5cb1370a2e743df1bdd456add1b1e03c,444.0
1b77e46b5a36ec33030629fb7c959f58,411.0
c81d6caa4224d905599930df79846cf9,378.0
f73094119f88a10bc533e8c8da0a02d8,362.0
798fbfe49a39e600e10512cb8ed9bf86,356.0
ecf1663787624a6502d0c27b7b1b05e7,339.0
3e953e719458b98f071f0dd1d32dd5ac,324.0
482f444e1fa2e3554aa501705b8c9bee,320.0
575b767993c5c1084a5c43710aed88b1,309.0
2407b4e55cff340515778a1b764af666,301.0
59332431e615248949bd1342e7aaeca3,298.0
94f8001babdc369b260645e95c9159a1,290.0
e5eb2ab81eb76e24ea3f38363500f177,289.0
a3b7c72463aea4938a8f7b8afbe71ab2,277.0
eeaf75efd81a452147484de5f102caa8,260.0
9d9d668b7f52d965121717a0f8968aa1,241.0
4fb6f05f599b6b12a569a9c20b42c4c5,239.0
b1d2db3ae661f54169136a7f10e18b48,239.0
a5987cf1f7499c2bc5c63912f7596224,202.0
b88c5becf4646b468a28c2208b7c60f7,196.0
0f4355a333d9f4a2a5f2e897cce08089,193.0
f186409527dd1126efb3e3a2d683002a,192.0
33be3570fe5167a6c07294f70c72c1f0,189.0
4b3ad1748278f66398e40aa6d773348d,177.0
7b636deaeed789f02ff5db52e4dd0dc1,158.0
41c6c5e25b53c74e15033a540ab9db5a,157.0
9984bde474110a6d3684c432470a30b2,155.0
b36c4ead5a99ffbde827dec17f528a7e,154.0
0cad3a0f561641e65c35ec4c6e292d55,150.0
ac668d8f321a3511bcdae8f7bf475f5f,149.0
41b9f19e54ab32cde1451329cd3f09b4,148.0
d1a7ff9e935ed9c27da1e2689cadf433,146.0
5d5a3b86961893457339159afc90e769,135.0
b5bef671c297a6d83dc16ad3e7e25bfd,128.0
d213d9c18c08b9e745a3331958f999bd,125.0
bc94db8c55773c21d1b4244b3601720e,120.0
0ec857a050f86f3d07a56d38c2c33b9b,117.0
1fdd6493fa64cfcfb0ef3701edf85bf7,114.0
c47182296034bb98c172c5a9dff1dbee,112.0
c69a5d105358f0b115ed774701f5200d,111.0
bf50348d22f68e471a182da01c25dee8,109.0
6ad3956f9130e0ecb7be485290616f72,99.0
a7b4344630fc6967af3b8f0cf9c906b7,97.0
a784db38062446b5f59cd5f24f3a500f,93.0
98d1090d80b58a4ff8f933407e008441,90.0
91a79f5c0609bcaeaf6d5ffaa870288a,84.0
fe785708b01d911d8fee10a5ba8c44c0,82.0
513b682768d02517a154e53d46ec5e80,81.0
0c7a27fe0a6d4b3776ef08bdb071f0d6,77.0
40d7b1d7688326a05ffef8d5dad3934b,72.0
3c85bf6d6bcf5b0aa7f0a8e582a64a30,72.0
4e5d4c155e2f32566e3047c77ef87fef,67.0
e4e7006afa07ac9d08b1453d9c1d0352,63.0
af6657f0b9a85f9d94d39103dd3dcbf3,59.0
b8755336d95974829391c0983bbf24ef,59.0
8c4f5c905fcc1f89a78aa72acf969bdf,58.0
fbbb1107ef6a255283d791402b0cca13,58.0
5a361f4df44e26af2298d8b73469e2f1,56.0
7b0f813d25de5b5009e50dc5061a32f3,54.0
676d255269118e664d8c7aa15917a9dc,52.0
25ac5205323ad130d005cd3db4c6eded,52.0
6632997282d0e330e397a9a2aca814cc,48.0
cfaab1e2f4ea5cdef736b3bf6027d01b,48.0
a3fc8fd6f193708c52df3cdfac6dcf72,48.0
86b536f821f5f0d7eac47e28b6a0de05,47.0
5cc9c78942532a394c811620945263ef,45.0
6dd3dd8d6ae5aa4045f1ce3312b795b3,43.0
0ddefb296e2d3905a625527d314364a6,43.0
e79472daada14726cf9fba87104ee452,42.0
3c0d003f1a97ed139ed8ae4311912da2,41.0
31fd3630191c79505fed183b16b31fc6,41.0
51a20fdbafbec13d5111d752fbc8f0c3,41.0
ae3d48c824b2bdef6aadb44f36ebeee3,40.0
285c3d55e0089ff4513e624aab74069c,35.0
71a2500f0486a6277ec674b7f75e8341,35.0
10a78cc680f681bd76eb45c1756afb22,25.0
9ef8d1f8408b3c453317eb2aba1f169b,20.0
7434665a8a771a607355d704f3ebf07a,20.0
3f99c60fe09f1ea9fe62fab1569e86b3,19.0
5da073a4cb3b46f8f1ae7b07fdbf058d,17.0
5bc1c97c50614174e5f2ad6404182f04,13.0
66ee83e94a634dec39a2592857284cad,10.0
6490c313c8998392100b6e3d16cb7a2d,9.0
faa3acc8774aee670920d9b966d13dee,9.0
49c355b44428769ffcc95cbab43230dc,8.0
5fefba286f402c4ff9dd452680599230,8.0
abfba919eba57d133db36ddbfc1b2c81,7.0
43b5da0cfc52d54ad22f9a86afddecd8,7.0
501c1263b4af09f6c248f706538c8f65,7.0
a3d13de18b675f957dde448795937ed6,6.0
94e7f5c927fa56fe5f8e03a33116aa32,6.0
83475cdf2137e7d7667769628c62188b,6.0
4c2b7715626fc0a11d11e776c0e94703,6.0
f8beab092462919f592d59f50537d024,6.0
86eaffb930f24f286463932b2c3b0b8b,6.0
35798cacc6bb045b7f0ab9d8991cd65a,5.0
4794881f8fecfb923fff55694a33a7bb,4.0
2b889f8ed4bd6691fa7f19c7e1011038,3.0
6e06e4761e9ac111aee5e3e8bec4ad4c,3.0
14ffad5b96a924bb2923f682c79c8260,2.0
