sample-id	input	primer-removed	percentage of input primer-removed	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4656740	25503	21848	85.67	17747	69.59	16234	15159	59.44
ERR4656741	21183	17948	84.73	14452	68.22	12929	12589	59.43
ERR4656742	18679	16067	86.02	12553	67.2	10960	10754	57.57
ERR4656743	7399	6342	85.71	4044	54.66	2955	2952	39.9
ERR4656744	13583	11725	86.32	7344	54.07	5466	5386	39.65
ERR4656745	19859	17453	87.88	14618	73.61	13180	12443	62.66
ERR4656746	38912	32668	83.95	25629	65.86	22576	21205	54.49
ERR4656747	8308	6946	83.61	5140	61.87	4458	4453	53.6
ERR4656748	16195	13921	85.96	10252	63.3	8660	8569	52.91
ERR4656749	14755	12530	84.92	8623	58.44	7196	7140	48.39
