sample ID	forward sequence count	reverse sequence count
YUN3428.2	4471	4471
BAQ4166.1.2	4131	4131
YUN3533.3	4009	4009
BAQ3473.3	3933	3933
YUN3856.3	3898	3898
BAQ4166.3	3896	3896
BAQ4166.2	3887	3887
YUN3533.2	3680	3680
BAQ3473.1	3589	3589
BAQ4697.3	3507	3507
YUN3428.3	3464	3464
YUN3259.3	3405	3405
YUN3856.1.1	3236	3236
BAQ4166.1.1	3187	3187
YUN3428.1	3154	3154
YUN3259.2	3138	3138
BAQ4166.1.3	3089	3089
BAQ3473.2	3088	3088
YUN3856.2	3077	3077
YUN3533.1.1	3003	3003
YUN3856.1.2	2995	2995
YUN3533.1.2	2936	2936
BAQ2462.1	2884	2884
YUN1005.1.1	2790	2790
YUN2029.2	2751	2751
BAQ4697.1	2686	2686
BAQ2687.3	2679	2679
BAQ2687.1	2619	2619
BAQ4697.2	2575	2575
YUN3533.1.3	2473	2473
YUN3346.3	2405	2405
YUN3856.1.3	2332	2332
YUN1242.3	2324	2324
YUN1609.1	2304	2304
BAQ2420.1.1	2297	2297
BAQ2420.1.2	2164	2164
YUN3259.1.2	2153	2153
BAQ2687.2	2122	2122
BAQ2420.1.3	2093	2093
YUN3346.1	2072	2072
BAQ2420.3	2061	2061
BAQ2420.2	2019	2019
BAQ2462.2	1938	1938
YUN1242.1	1909	1909
BAQ2838.1	1885	1885
YUN3153.3	1842	1842
BAQ2838.2	1747	1747
BAQ2462.3	1579	1579
YUN3153.2	1493	1493
YUN1005.3	1316	1316
BAQ2838.3	1215	1215
YUN3259.1.3	894	894
YUN3346.2	608	608
YUN3259.1.1	195	195
YUN1242.2	29	29
YUN2029.1	29	29
YUN3008.1.3	21	21
BAQ1370.1.3	16	16
YUN3008.1.1	14	14
BAQ1552.1.1	14	14
BAQ895.2	13	13
YUN3008.3	11	11
YUN3153.1	11	11
YUN1005.1.3	10	10
YUN3184.2	9	9
YUN1005.2	7	7
YUN1609.3	6	6
BAQ1552.2	5	5
BAQ1370.1.2	5	5
YUN3008.1.2	5	5
YUN3184.1	4	4
BAQ895.3	4	4
YUN2029.3	3	3
YUN3008.2	3	3
BAQ1370.3	1	1
