SampleID	Collection_Date	Experiment	SRA Study
DRR163068	2017/9/12	DRX153687	DRP005306
DRR163069	2017/9/12	DRX153688	DRP005306
DRR163070	2017/9/12	DRX153689	DRP005306
DRR163071	2017/9/12	DRX153690	DRP005306
DRR163072	2017/9/12	DRX153691	DRP005306
DRR163073	2017/9/4	DRX153692	DRP005306
DRR163074	2017/9/4	DRX153693	DRP005306
DRR163075	2017/9/4	DRX153694	DRP005306
DRR163076	2017/10/4	DRX153695	DRP005306
DRR163077	2017/10/4	DRX153696	DRP005306
DRR163078	2017/10/4	DRX153697	DRP005306
DRR163079	2017/10/4	DRX153698	DRP005306
DRR163080	2017/9/4	DRX153699	DRP005306
DRR163081	2017/9/4	DRX153700	DRP005306
DRR163082	2017/9/4	DRX153701	DRP005306
DRR163083	2017/9/4	DRX153702	DRP005306
DRR163084	2017/9/4	DRX153703	DRP005306
