sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
L1S105	11340	4547	40.1	4495	4111	36.25
L1S140	9736	4192	43.06	4159	3946	40.53
L1S208	11335	4875	43.01	4791	4251	37.5
L1S257	8216	3426	41.7	3391	3331	40.54
L1S281	8904	3529	39.63	3467	3340	37.51
L1S57	11750	4850	41.28	4774	4481	38.14
L1S76	10100	4630	45.84	4580	4338	42.95
L1S8	12386	4001	32.3	3985	3665	29.59
L2S155	9261	1204	13	1107	1107	11.95
L2S175	10691	1331	12.45	1244	1244	11.64
L2S204	7297	1180	16.17	1065	1065	14.6
L2S222	8386	1157	13.8	1043	1043	12.44
L2S240	11986	1730	14.43	1682	1682	14.03
L2S309	3835	423	11.03	343	343	8.94
L2S357	6253	675	10.79	600	600	9.6
L2S382	9300	1389	14.94	1327	1318	14.17
L3S242	2055	530	25.79	499	465	22.63
L3S294	2317	593	25.59	535	535	23.09
L3S313	1994	512	25.68	462	462	23.17
L3S341	1853	478	25.8	400	400	21.59
L3S360	2084	504	24.18	407	407	19.53
L3S378	2146	734	34.2	704	665	30.99
L4S112	16265	3378	20.77	3236	3218	19.78
L4S137	18787	4696	25	4605	4433	23.6
L4S63	17167	4484	26.12	4261	4231	24.65
L5S104	3460	1068	30.87	1051	1051	30.38
L5S155	2491	1048	42.07	1030	1030	41.35
L5S174	2792	1058	37.89	1038	1038	37.18
L5S203	3037	1214	39.97	1186	1186	39.05
L5S222	3390	1537	45.34	1521	1521	44.87
L5S240	2665	1079	40.49	1061	1061	39.81
L6S20	9775	4284	43.83	4263	4253	43.51
L6S68	9554	3497	36.6	3474	3474	36.36
L6S93	11270	4187	37.15	4158	3977	35.29
